"enabled","Enabled"
"method_name","Method name"
"method_title","Method title"
"update","Update"
"install","Install"
"cron","Cron"
"cron_comment","Enable daily status check by Cron"
"debug_mode","Debug mode"
"debug_mode_comment","Enable actions logging"
"test_mode","Test mode"
"weight_unit","Weight unit"
"gram","Gram"
"kilogram","Kilogram"
"dimension_unit","Dimension unit"
"centimeter","Centimeter"
"meter","Meter"
"package_size","Parcel dimensions"
"length_attribute","Product length attribute"
"length_default","Default product length"
"width_attribute","Product width attribute"
"width_default","Default product width"
"height_attribute","Product height attribute"
"height_default","Default product height"
"order_nf","Order not found"
"order_ns","Order undefined"
"shipment_nf","Delivery not found"
"shipment_track_nf","Track number not found"
"wrong_shipment_track","Wrong track number"
