"enabled","Включено"
"method_name","Название метода"
"method_title","Тайтл метода"
"update","Обновить"
"install","Установить"
"cron","Cron"
"cron_comment","Включить ежедневную проверку статусов через Cron"
"debug_mode","Режим отладки"
"debug_mode_comment","Включение логирования действий"
"test_mode","Тестовый режим"
"weight_unit","Единица измерения веса"
"gram","Грамм"
"kilogram","Килограмм"
"dimension_unit","Единица измерения размера"
"centimeter","Сантиметр"
"meter","Метр"
"package_size","Габариты посылки"
"length_attribute","Атрибут длины товара"
"length_default","Длина товара по умолчанию"
"width_attribute","Атрибут ширины товара"
"width_default","Ширина товара по умолчанию"
"height_attribute","Атрибут высоты товара"
"height_default","Высота товара по умолчанию"
"order_nf","Заказ не найден"
"order_ns","Заказ не определен"
"shipment_nf","Доставка не найдена"
"shipment_track_nf","Код отслеживания не найден"
"wrong_shipment_track","Неверный код отслеживания"
